conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,skill/competence,sector-specific,manage musical staff,"manage staff of music
coordinate duties of musical staff
manage music staff
direct musical staff","Assign and manage staff tasks in areas such as scoring, arranging, copying music and vocal coaching."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,skill/competence,occupation-specific,supervise correctional procedures,"oversee prison procedures
manage correctional procedures
monitor correctional procedures
manage prison procedures
monitor prison procedures
oversee correctional procedures","Supervise the operations of a correctional facility or other correctional procedures, ensuring that they are compliant with legal regulations, and ensure that the staff complies with regulations, and aim to improve the facility's efficiency and safety."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,skill/competence,sector-specific,apply anti-oppressive practices,"use anti-oppressive practices
identify oppression in societies and groups
apply an anti-oppressive practice
make use of anti-oppressive practices
apply non-oppressive practices
act in a non-oppressive way
apply anti-oppresive practice","Identify oppression in societies, economies, cultures, and groups, acting as a professional in an non-oppressive way, enabling service users to take action to improve their lives and enabling citizens to change their environment in accordance with their own interests."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,skill/competence,sector-specific,control compliance of railway vehicles regulations,"monitoring of compliance with railway vehicles regulations
monitoring of compliance with rolling stock regulations
checking compliance with rolling stock regulations
control compliance of regulations of rolling stock
inspection of compliance with rolling stock regulations
ensuring compliance with railway vehicles regulations
compliance controls of railway vehicles regulations
conduct controls of compliance of railway vehicles regulations
control compliance of railway vehicle regulations","Inspect rolling stock, components and systems to ensure compliance with standards and specifications."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,skill/competence,cross-sector,identify available services,"establish available services
determine rehabilitation services
analyse rehabilitation services
establish rehabilitation services
determine available services
analyse available services
classify available services
classify rehabilitation services","Identify the different services available for an offender during probation in order to help in the rehabilitation and re-integration process, as well as advising the offenders as to how they can identify services available to them."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,skill/competence,cross-sector,perform toxicological studies,"apply toxicological testing methods
perform toxicological tests
perform toxicological study
carry out toxicological studies","Perform tests to detect poisons or drug misuse and help to monitor therapy by using chemical reagents, enzymes, radioisotopes and antibodies to detect abnormal chemical concentrations in the body."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,skill/competence,occupation-specific,ensure coquille uniformity,"making sure coquille is uniform
ensure uniformity of coquille
ensuring coquille uniformity
checking that coquille is uniform
ensuring uniformity of coquille
ensuring coquille is uniform
ensure coquille is uniform
ensuring of coquille uniformity
make sure coquille is uniform
check that coquille is uniform",Oversee uniformity of coquilles; use casting equipment and tools such as welding machines.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,knowledge,sector-specific,Haskell,,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Haskell."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,skill/competence,cross-sector,apply diplomatic principles,"utilise diplomacy principles
administer diplomacy principles
use diplomatic principles
implement diplomacy principles
utilise diplomatic principles
implement diplomatic principles
use diplomacy principles
administer diplomatic principles","Apply the processes involved in the creation of international treaties by conducting negotiations between representatives of different countries, protecting the home government's interests, and facilitating compromise."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,skill/competence,sector-specific,lead police investigations,"supervise police investigations
manage police enquiries
supervise police enquiries
oversee police investigations
manage police investigations
oversee police enquiries","Lead investigations in police cases, which involves establishing an investigation strategy, contacting experts, being able to use different methods and points of view, and leading investigative staff."
